name,price,comnum,link
 Python计算与编程实践:多媒体方法(原书第2版) (美)古兹迪阿尔 (美)埃里克森 机械工业出版社 9787111,69.0,0,http://product.dangdang.com/1342087088.html
 Python金融数据分析 ［新加坡］马伟明 机械工业出版社 9787111589983,69.0,0,http://product.dangdang.com/1342086388.html
 Python数据分析实战 [印尼]伊凡·伊德里斯(Ivan Idris) 机械工业出版社 9787111576402,79.0,0,http://product.dangdang.com/1341841688.html
 Python程序员面试算法宝典 张波 楚秦 等 机械工业出版社 9787111607793,65.0,0,http://product.dangdang.com/1341841488.html
 Python全栈开发实践入门 谢瑛俊著 电子工业出版社 9787121328114,69.0,0,http://product.dangdang.com/1341765188.html
 Python数据可视化编程实战 第2版 [爱尔兰] 伊戈尔·米洛瓦诺维奇(Igor Milovanovi) [法 人民,69.0,0,http://product.dangdang.com/1341631888.html
 Python 深度学习实战：75个有关神经网络建模 强化学习与迁移学习的解决方案 英德拉 丹 巴克 程国建 机械工业出,79.0,0,http://product.dangdang.com/1341571188.html
 Python 3标准库 [美] 道格·赫尔曼(Doug Hellmann) 机械工业出版社 9787111608950,199.0,0,http://product.dangdang.com/1341499088.html
 Python程序设计入门到实战 何敏煌 清华大学出版社 9787302455967,69.0,0,http://product.dangdang.com/1341463288.html
 Python 3 面向对象编程(第2版) (加)Dusty Phillips(达斯帝·菲利普斯) 电子工业出版社 97,99.0,0,http://product.dangdang.com/1341251888.html
 Python应用开发实战 [美] 尼纳德·萨斯叶(Ninad Sathaye) 人民邮电出版社 97871154775,79.0,0,http://product.dangdang.com/1341269788.html
 Python程序设计 [美]戴维I 施耐德 机械工业出版社 9787111526278,79.0,0,http://product.dangdang.com/1340848488.html
 Python文本分析 [印度] 迪潘简·撒卡尔 机械工业出版社 9787111593249,79.0,0,http://product.dangdang.com/1340876988.html
 Python密码学编程 [美] Al Sweigart 斯维加特 人民邮电出版社 9787115424297,69.0,0,http://product.dangdang.com/1340761088.html
 Python项目开发实战 第2版 日 BePROUD股份有限公司 人民邮电出版社 9787115438560,79.0,0,http://product.dangdang.com/1340652288.html
 Python生物信息学数据管理 (意)Allegra Via (阿莱格拉 维亚) 卢宏超 电子工业出版社 978712,69.0,0,http://product.dangdang.com/1340344688.html
 Python地理数据处理 [美]Chris Garrard 加勒德 人民邮电出版社 9787115456663,79.0,0,http://product.dangdang.com/1340318488.html
 Python自然语言处理实战：核心技术与算法 涂铭 刘祥 刘树春 机械工业出版社 9787111597674,69.0,0,http://product.dangdang.com/1340081488.html
 【套装4本】Python深度学习入门 人工智能书籍 Python神经网络编程 机器学习实战 深度学习ai算法 Tens,324.1,0,http://product.dangdang.com/1464461588.html
 Python从入门到精通+零基础入门学习Python python语言程序设计基础教程 Python编程从入门到精通爬,90.7,0,http://product.dangdang.com/1464379588.html
" Python基础教程 刘浪,郭江涛,于晓强,宋燕红著 9787115398680 人民邮电出版社教材系列",32.4,1,http://product.dangdang.com/1275172676.html
 Python神经网络编程&深度学习&机器学习（共3册）,239.0,0,http://product.dangdang.com/1364995236.html
 【套装5本】Python深度学习入门 人工智能书籍 Python神经网络编程机器学习实战 深度学习ai算法 Tenso,349.0,0,http://product.dangdang.com/1364980036.html
 Python编程实战 机械工业出版社,41.3,1,http://product.dangdang.com/1099497029.html
 Python轻松学(爬虫游戏与架站),41.89,0,http://product.dangdang.com/1411404624.html
